type,value
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,2.0
variable 1,2.0
variable 1,1.0
variable 1,2.0
variable 1,3.0
variable 1,4.0
variable 1,8.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,3.0
variable 1,1.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,-1.0
variable 1,2.0
variable 1,9.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,-2.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,2.0
variable 1,4.0
variable 1,-1.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,6.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,1.0
variable 1,7.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,7.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,-1.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,-1.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,5.0
variable 1,2.0
variable 1,1.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,4.0
variable 1,0.0
variable 1,-4.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,-3.0
variable 1,-1.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,0.0
variable 1,2.0
variable 1,6.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,8.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,-1.0
variable 1,-2.0
variable 1,3.0
variable 1,3.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,6.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,1.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,7.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,6.0
variable 1,4.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,-2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,-2.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,4.0
variable 1,0.0
variable 1,1.0
variable 1,1.0
variable 1,2.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,-1.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,-3.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,4.0
variable 1,5.0
variable 1,7.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,4.0
variable 1,4.0
variable 1,2.0
variable 1,2.0
variable 1,0.0
variable 1,-3.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-4.0
variable 1,0.0
variable 1,4.0
variable 1,1.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,2.0
variable 1,-4.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,-1.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,-1.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,-1.0
variable 1,12.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,6.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,9.0
variable 1,2.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,5.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,-1.0
variable 1,3.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,2.0
variable 1,1.0
variable 1,1.0
variable 1,6.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,-1.0
variable 1,4.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,9.0
variable 1,0.0
variable 1,2.0
variable 1,3.0
variable 1,2.0
variable 1,3.0
variable 1,7.0
variable 1,2.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,4.0
variable 1,1.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,3.0
variable 1,0.0
variable 1,1.0
variable 1,3.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,-2.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,0.0
variable 2,4.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,-3.0
variable 2,-3.0
variable 2,-2.0
variable 2,-6.0
variable 2,4.0
variable 2,-2.0
variable 2,0.0
variable 2,2.0
variable 2,4.0
variable 2,-1.0
variable 2,2.0
variable 2,-2.0
variable 2,6.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,5.0
variable 2,0.0
variable 2,-2.0
variable 2,1.0
variable 2,0.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,9.0
variable 2,1.0
variable 2,-3.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-4.0
variable 2,-2.0
variable 2,1.0
variable 2,-5.0
variable 2,6.0
variable 2,-2.0
variable 2,-3.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,4.0
variable 2,1.0
variable 2,-2.0
variable 2,0.0
variable 2,-1.0
variable 2,6.0
variable 2,7.0
variable 2,-4.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,5.0
variable 2,-2.0
variable 2,-3.0
variable 2,-1.0
variable 2,-2.0
variable 2,-2.0
variable 2,2.0
variable 2,-4.0
variable 2,4.0
variable 2,-1.0
variable 2,-1.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,-3.0
variable 2,0.0
variable 2,-7.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,4.0
variable 2,-1.0
variable 2,0.0
variable 2,-5.0
variable 2,3.0
variable 2,-4.0
variable 2,2.0
variable 2,-4.0
variable 2,-3.0
variable 2,8.0
variable 2,-2.0
variable 2,0.0
variable 2,-7.0
variable 2,0.0
variable 2,-4.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-6.0
variable 2,4.0
variable 2,0.0
variable 2,0.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-1.0
variable 2,-6.0
variable 2,0.0
variable 2,-3.0
variable 2,0.0
variable 2,1.0
variable 2,0.0
variable 2,0.0
variable 2,-13.0
variable 2,-2.0
variable 2,-2.0
variable 2,-6.0
variable 2,0.0
variable 2,0.0
variable 2,4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,-1.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,4.0
variable 2,-8.0
variable 2,-1.0
variable 2,0.0
variable 2,-8.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-8.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-4.0
variable 2,2.0
variable 2,-2.0
variable 2,2.0
variable 2,4.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,1.0
variable 2,-12.0
variable 2,4.0
variable 2,-4.0
variable 2,-6.0
variable 2,-2.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-4.0
variable 2,-6.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,-4.0
variable 2,-5.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-4.0
variable 2,-3.0
variable 2,4.0
variable 2,0.0
variable 2,-2.0
variable 2,-7.0
variable 2,6.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-1.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,4.0
variable 2,0.0
variable 2,-10.0
variable 2,-7.0
variable 2,-2.0
variable 2,-1.0
variable 2,2.0
variable 2,2.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,-7.0
variable 2,19.0
variable 2,2.0
variable 2,-2.0
variable 2,6.0
variable 2,0.0
variable 2,7.0
variable 2,-12.0
variable 2,4.0
variable 2,0.0
variable 2,-9.0
variable 2,2.0
variable 2,2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-3.0
variable 2,1.0
variable 2,-2.0
variable 2,1.0
variable 2,-13.0
variable 2,-4.0
variable 2,-9.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,4.0
variable 2,-2.0
variable 2,1.0
variable 2,-2.0
variable 2,0.0
variable 2,9.0
variable 2,1.0
variable 2,0.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,1.0
variable 2,6.0
variable 2,-5.0
variable 2,-2.0
variable 2,0.0
variable 2,-6.0
variable 2,-2.0
variable 2,4.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,3.0
variable 2,-3.0
variable 2,-2.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,2.0
variable 2,3.0
variable 2,-5.0
variable 2,-1.0
variable 2,-4.0
variable 2,-2.0
variable 2,-8.0
variable 2,-7.0
variable 2,-8.0
variable 2,-2.0
variable 2,-1.0
variable 2,4.0
variable 2,-8.0
variable 2,-7.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,3.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,5.0
variable 2,-1.0
variable 2,1.0
variable 2,12.0
variable 2,-2.0
variable 2,1.0
variable 2,1.0
variable 2,4.0
variable 2,1.0
variable 2,-3.0
variable 2,-5.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,0.0
variable 2,1.0
variable 2,-4.0
variable 2,0.0
variable 2,-5.0
variable 2,0.0
variable 2,-7.0
variable 2,-8.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,5.0
variable 2,-4.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,2.0
variable 2,-4.0
variable 2,-3.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,1.0
variable 2,1.0
variable 2,2.0
variable 2,3.0
variable 2,1.0
variable 2,4.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,1.0
variable 2,1.0
variable 2,-2.0
variable 2,-2.0
variable 2,3.0
variable 2,1.0
variable 2,0.0
variable 2,-4.0
variable 2,1.0
variable 2,-9.0
variable 2,-3.0
variable 2,0.0
variable 2,1.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-6.0
variable 2,4.0
variable 2,2.0
variable 2,-2.0
variable 2,-4.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,1.0
variable 2,-9.0
variable 2,-14.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,1.0
variable 2,-5.0
variable 2,-2.0
variable 2,-10.0
variable 2,-1.0
variable 2,4.0
variable 2,-2.0
variable 2,0.0
variable 2,-1.0
variable 2,-3.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,2.0
variable 2,0.0
variable 2,1.0
variable 2,-3.0
variable 2,-10.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,0.0
variable 2,0.0
variable 2,4.0
variable 2,2.0
variable 2,3.0
variable 2,4.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,-1.0
variable 2,6.0
variable 2,-7.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,4.0
variable 2,2.0
variable 2,-2.0
variable 2,-2.0
variable 2,-5.0
variable 2,0.0
variable 2,0.0
variable 2,8.0
variable 2,-1.0
variable 2,2.0
variable 2,1.0
variable 2,1.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-8.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,1.0
variable 2,-1.0
variable 2,4.0
variable 2,0.0
variable 3,9.0
variable 3,1.0
variable 3,0.0
variable 3,10.0
variable 3,7.0
variable 3,2.0
variable 3,-1.0
variable 3,0.0
variable 3,0.0
variable 3,1.0
variable 3,-2.0
variable 3,2.0
variable 3,4.0
variable 3,-1.0
variable 3,2.0
variable 3,0.0
variable 3,-2.0
variable 3,-6.0
variable 3,0.0
variable 3,3.0
variable 3,8.0
variable 3,2.0
variable 3,-7.0
variable 3,2.0
variable 3,4.0
variable 3,6.0
variable 3,2.0
variable 3,1.0
variable 3,-7.0
variable 3,11.0
variable 3,-5.0
variable 3,-1.0
variable 3,2.0
variable 3,4.0
variable 3,2.0
variable 3,2.0
variable 3,-1.0
variable 3,1.0
variable 3,1.0
variable 3,2.0
variable 3,3.0
variable 3,2.0
variable 3,2.0
variable 3,7.0
variable 3,-1.0
variable 3,0.0
variable 3,2.0
variable 3,0.0
variable 3,2.0
variable 3,2.0
variable 3,4.0
variable 3,3.0
variable 3,-3.0
variable 3,-1.0
variable 3,4.0
variable 3,12.0
variable 3,-1.0
variable 3,-1.0
variable 3,-4.0
variable 3,2.0
variable 3,-1.0
variable 3,2.0
variable 3,4.0
variable 3,-2.0
variable 3,3.0
variable 3,2.0
variable 3,8.0
variable 3,-4.0
variable 3,1.0
variable 3,3.0
variable 3,4.0
variable 3,2.0
variable 3,0.0
variable 3,-4.0
variable 3,-2.0
variable 3,4.0
variable 3,3.0
variable 3,0.0
variable 3,3.0
variable 3,-1.0
variable 3,3.0
variable 3,5.0
variable 3,4.0
variable 3,-1.0
variable 3,0.0
variable 3,-1.0
variable 3,0.0
variable 3,1.0
variable 3,0.0
variable 3,4.0
variable 3,-1.0
variable 3,-1.0
variable 3,4.0
variable 3,-4.0
variable 3,-1.0
variable 3,0.0
variable 3,4.0
variable 3,-2.0
variable 3,0.0
variable 3,-3.0
variable 3,2.0
variable 3,-3.0
variable 3,4.0
variable 3,3.0
variable 3,-11.0
variable 3,8.0
variable 3,0.0
variable 3,2.0
variable 3,3.0
variable 3,7.0
variable 3,-1.0
variable 3,0.0
variable 3,2.0
variable 3,5.0
variable 3,4.0
variable 3,2.0
variable 3,-1.0
variable 3,4.0
variable 3,1.0
variable 3,1.0
variable 3,6.0
variable 3,10.0
variable 3,1.0
variable 3,-1.0
variable 3,-2.0
variable 3,-1.0
variable 3,4.0
variable 3,-5.0
variable 3,3.0
variable 3,9.0
variable 3,0.0
variable 3,1.0
variable 3,9.0
variable 3,-6.0
variable 3,-1.0
variable 3,1.0
variable 3,2.0
variable 3,4.0
variable 3,2.0
variable 3,2.0
variable 3,16.0
variable 3,-5.0
variable 3,1.0
variable 3,3.0
variable 3,2.0
variable 3,2.0
variable 3,-1.0
variable 3,8.0
variable 3,4.0
variable 3,4.0
variable 3,6.0
variable 3,-3.0
variable 3,4.0
variable 3,0.0
variable 3,0.0
variable 3,4.0
variable 3,6.0
variable 3,-3.0
variable 3,3.0
variable 3,2.0
variable 3,4.0
variable 3,2.0
variable 3,-3.0
variable 3,0.0
variable 3,4.0
variable 3,0.0
variable 3,2.0
variable 3,1.0
variable 3,1.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,3.0
variable 3,-5.0
variable 3,0.0
variable 3,4.0
variable 3,2.0
variable 3,0.0
variable 3,4.0
variable 3,-1.0
variable 3,0.0
variable 3,2.0
variable 3,3.0
variable 3,6.0
variable 3,2.0
variable 3,0.0
variable 3,0.0
variable 3,3.0
variable 3,1.0
variable 3,1.0
variable 3,2.0
variable 3,-5.0
variable 3,4.0
variable 3,-1.0
variable 3,5.0
variable 3,1.0
variable 3,4.0
variable 3,1.0
variable 3,2.0
variable 3,1.0
variable 3,1.0
variable 3,2.0
variable 3,-1.0
variable 3,4.0
variable 3,-1.0
variable 3,2.0
variable 3,0.0
variable 3,6.0
variable 3,0.0
variable 3,-2.0
variable 3,-2.0
variable 3,2.0
variable 3,2.0
variable 3,-2.0
variable 3,9.0
variable 3,4.0
variable 3,4.0
variable 3,0.0
variable 3,0.0
variable 3,0.0
variable 3,2.0
variable 3,2.0
variable 3,-4.0
variable 3,1.0
variable 3,0.0
variable 3,0.0
variable 3,4.0
variable 3,4.0
variable 3,0.0
variable 3,2.0
variable 3,2.0
variable 3,2.0
variable 3,0.0
variable 3,4.0
variable 3,-5.0
variable 3,9.0
variable 3,-3.0
variable 3,0.0
variable 3,-5.0
variable 3,0.0
variable 3,-1.0
variable 3,3.0
